"Skill","What it does","Outlier fit","Outlier pipeline use","Category","Caution","Source","SKILL.md paths"
"shortpixel-automation","Automate Shortpixel tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/shortpixel-automation/SKILL.md"
"shotstack-automation","Automate Shotstack tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/shotstack-automation/SKILL.md"
"sidetracker-automation","Automate Sidetracker tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/sidetracker-automation/SKILL.md"
"signaturely-automation","Automate Signaturely tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/signaturely-automation/SKILL.md"
"signpath-automation","Automate Signpath tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/signpath-automation/SKILL.md"
"signwell-automation","Automate Signwell tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/signwell-automation/SKILL.md"
"similarweb_digitalrank_api-automation","Automate SimilarWeb tasks via Rube MCP (Composio): website traffic, rankings, and digital market intelligence. Always search tools first for current schemas.","Supporting","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Web & extraction","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/similarweb_digitalrank_api-automation/SKILL.md"
"similarweb-digitalrank-api-automation","Automate SimilarWeb tasks via Rube MCP (Composio). Always search tools first for current schemas.","Supporting","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Web & extraction","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/similarweb-digitalrank-api-automation/SKILL.md"
"simla-com-automation","Automate Simla Com tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/simla-com-automation/SKILL.md"
"simple-analytics-automation","Automate Simple Analytics tasks via Rube MCP (Composio). Always search tools first for current schemas.","Supporting","Perform offline exploratory analysis on pack and feedback data—for example market-family ROI, calibration curves, rejection funnels, or model diagnostics.","Data & analytics","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/simple-analytics-automation/SKILL.md"
"simplesat-automation","Automate Simplesat tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/simplesat-automation/SKILL.md"
"sites:sites-building","Use Sites to build websites, including landing pages, portfolios, dashboards, portals, trackers, hubs, and internal tools. Always use Sites when the project contains `.openai/hosting.json`.","Strong","Build operator-facing views of feed health, candidate funnels, ROI, CLV, calibration, coverage, and settlement status from canonical Outlier artifacts.","Business operations","Paid/live model calls may require explicit per-turn authorization; default to offline/native analysis.","Bundled plugin","C:/Users/dasil/.codex/plugins/cache/openai-bundled/sites/0.1.46/skills/sites-building/SKILL.md"
"sites:sites-hosting","Host websites with Sites. Always use after `sites-building`, and use for website publishing, deployment, hosting management, or projects containing `.openai/hosting.json`.","No direct fit","Track pipeline incidents, PR follow-ups, data-source outages, and manual-review tasks; it coordinates work but does not validate pack correctness.","Business operations","Paid/live model calls may require explicit per-turn authorization; default to offline/native analysis.","Bundled plugin","C:/Users/dasil/.codex/plugins/cache/openai-bundled/sites/0.1.46/skills/sites-hosting/SKILL.md"
"sitespeakai-automation","Automate Sitespeakai tasks via Rube MCP (Composio). Always search tools first for current schemas.","Supporting","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","AI & research","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/sitespeakai-automation/SKILL.md"
"skill-creator","Create or update a Codex skill with appropriately scoped instructions and any needed supporting resources.","No direct fit","No direct core-pipeline use. If you adopt skill-creator operationally, this skill can automate that service around Outlier; it should not affect odds, projections, ranking, sizing, or settlement truth.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","System + Codex skill","C:/Users/dasil/.codex/skills/.system/skill-creator/SKILL.md | C:/Users/dasil/.codex/skills/skill-creator/SKILL.md"
"skill-installer","Install Codex skills into $CODEX_HOME/skills from a curated list or a GitHub repo path. Use when a user asks to list installable skills, install a curated skill, or install a skill from another repo (including private repos).","No direct fit","No direct core-pipeline use. If you adopt skill-installer operationally, this skill can automate that service around Outlier; it should not affect odds, projections, ranking, sizing, or settlement truth.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","System","C:/Users/dasil/.codex/skills/.system/skill-installer/SKILL.md"
"skill-share","A skill that creates new Claude skills and automatically shares them on Slack using Rube for seamless team collaboration and skill discovery.","No direct fit","No direct core-pipeline use. If you adopt skill-share operationally, this skill can automate that service around Outlier; it should not affect odds, projections, ranking, sizing, or settlement truth.","Business operations","Paid/live model calls may require explicit per-turn authorization; default to offline/native analysis.","Codex skill","C:/Users/dasil/.codex/skills/skill-share/SKILL.md"
"skyfire-automation","Automate Skyfire tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/skyfire-automation/SKILL.md"
"slack-gif-creator","Toolkit for creating animated GIFs optimized for Slack, with validators for size constraints and composable animation primitives. This skill applies when users request animated GIFs or emoji animations for Slack from descriptions like ""make me a GIF for Slack of X doing Y"".","Peripheral","Use as an optional supporting workflow around data collection, operations, documentation, or delivery; validate all betting-relevant facts against canonical Outlier artifacts.","Communication","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/slack-gif-creator/SKILL.md"
"slackbot-automation","Automate Slackbot tasks via Rube MCP (Composio). Always search tools first for current schemas.","Peripheral","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Communication","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/slackbot-automation/SKILL.md"
"smartproxy-automation","Automate Smartproxy tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/smartproxy-automation/SKILL.md"
"smartrecruiters-automation","Automate Smartrecruiters tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/smartrecruiters-automation/SKILL.md"
"sms-alert-automation","Automate SMS Alert tasks via Rube MCP (Composio). Always search tools first for current schemas.","Peripheral","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Communication","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/sms-alert-automation/SKILL.md"
"smtp2go-automation","Automate Smtp2go tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/smtp2go-automation/SKILL.md"
"smugmug-automation","Automate Smugmug tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/smugmug-automation/SKILL.md"
"Snowflake Automation","Automate Snowflake data warehouse operations -- list databases, schemas, and tables, execute SQL statements, and manage data workflows via the Composio MCP integration.","Strong","Support durable mirrors, analysis stores, or operational queries around extraction and feedback data; do not replace canonical pack CSV/PackIndex authority without an approved migration.","Data & analytics","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/snowflake-automation/SKILL.md"
"sora","Use when the user asks to generate, remix, poll, list, download, or delete Sora videos via OpenAI\u2019s video API using the bundled CLI (`scripts/sora.py`), including requests like \u201cgenerate AI video,\u201d \u201cSora,\u201d \u201cvideo remix,\u201d \u201cdownload video/thumbnail/spritesheet,\u201d and batch video generation; requires `OPENAI_API_KEY` and Sora API access.","No direct fit","Support research, summarization, or model-assisted review around Outlier. Never invoke paid/live desk reasoning unless the current user explicitly authorizes it.","Business operations","Paid/live model calls may require explicit per-turn authorization; default to offline/native analysis.","Codex skill","C:/Users/dasil/.codex/skills/sora/SKILL.md"
"sourcegraph-automation","Automate Sourcegraph tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/sourcegraph-automation/SKILL.md"
"speech","Use when the user asks for text-to-speech narration or voiceover, accessibility reads, audio prompts, or batch speech generation via the OpenAI Audio API; run the bundled CLI (`scripts/text_to_speech.py`) with built-in voices and require `OPENAI_API_KEY` for live calls. Custom voice creation is out of scope.","No direct fit","Support research, summarization, or model-assisted review around Outlier. Never invoke paid/live desk reasoning unless the current user explicitly authorizes it.","Business operations","Paid/live model calls may require explicit per-turn authorization; default to offline/native analysis.","Codex skill","C:/Users/dasil/.codex/skills/speech/SKILL.md"
"splitwise-automation","Automate Splitwise tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/splitwise-automation/SKILL.md"
"spoki-automation","Automate Spoki tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/spoki-automation/SKILL.md"
"spondyr-automation","Automate Spondyr tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/spondyr-automation/SKILL.md"
"Spotify Automation","Automate Spotify workflows including playlist management, music search, playback control, and user profile access via Composio","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Preserve canonical artifacts and confirm exact targets before moves, overwrites, or deletion.","Codex skill","C:/Users/dasil/.codex/skills/spotify-automation/SKILL.md"
"spotlightr-automation","Automate Spotlightr tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/spotlightr-automation/SKILL.md"
"spreadsheets:excel-live-control","Control an open or active Microsoft Excel workbook through the ChatGPT add-in or connected session. Use when the user tags the Microsoft Excel app in Codex or follows up on an established live Excel task. Do not use for standalone spreadsheet files or Google Sheets.","Strong","Inspect or publish CSV/XLSX views of candidates, original recommendations, decisions, settlements, and calibration outputs while keeping canonical files authoritative.","Data & analytics","Can communicate externally; verify recipients and content before sending.","Primary runtime","C:/Users/dasil/.codex/plugins/cache/openai-primary-runtime/spreadsheets/26.904.11930/skills/excel-live-control/SKILL.md"
"spreadsheets:Spreadsheets","Create, edit, analyze, and verify standalone spreadsheet files or Google Sheets-ready workbooks, including .xlsx, .xls, .csv, and .tsv. Do not use for live controlling Microsoft Excel app or a live Excel session.","Strong","Inspect or publish CSV/XLSX views of candidates, original recommendations, decisions, settlements, and calibration outputs while keeping canonical files authoritative.","Data & analytics","Preserve canonical artifacts and confirm exact targets before moves, overwrites, or deletion.","Primary runtime","C:/Users/dasil/.codex/plugins/cache/openai-primary-runtime/spreadsheets/26.904.11930/skills/spreadsheets/SKILL.md"
"sslmate-cert-spotter-api-automation","Automate Sslmate Cert Spotter API tasks via Rube MCP (Composio). Always search tools first for current schemas.","Supporting","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Web & extraction","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/sslmate-cert-spotter-api-automation/SKILL.md"
"stack-exchange-automation","Automate Stack Exchange tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/stack-exchange-automation/SKILL.md"
"stannp-automation","Automate Stannp tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/stannp-automation/SKILL.md"
"starton-automation","Automate Starton tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/starton-automation/SKILL.md"
"statuscake-automation","Automate Statuscake tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/statuscake-automation/SKILL.md"
"storeganise-automation","Automate Storeganise tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/storeganise-automation/SKILL.md"
"storerocket-automation","Automate Storerocket tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/storerocket-automation/SKILL.md"
"stormglass-io-automation","Automate Stormglass IO tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/stormglass-io-automation/SKILL.md"
"strava-automation","Automate Strava tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/strava-automation/SKILL.md"
"streamtime-automation","Automate Streamtime tasks via Rube MCP (Composio). Always search tools first for current schemas.","Peripheral","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Collaboration & projects","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/streamtime-automation/SKILL.md"
"supadata-automation","Automate Supadata tasks via Rube MCP (Composio). Always search tools first for current schemas.","Supporting","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Data & analytics","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/supadata-automation/SKILL.md"
"superchat-automation","Automate Superchat tasks via Rube MCP (Composio). Always search tools first for current schemas.","Peripheral","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Communication","Can communicate externally; verify recipients and content before sending.","Codex skill","C:/Users/dasil/.codex/skills/superchat-automation/SKILL.md"
"supportbee-automation","Automate Supportbee tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/supportbee-automation/SKILL.md"
"supportivekoala-automation","Automate Supportivekoala tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/supportivekoala-automation/SKILL.md"
"survey_monkey-automation","Automate SurveyMonkey tasks via Rube MCP (Composio): surveys, responses, collectors, and survey analytics. Always search tools first for current schemas.","No direct fit","Perform offline exploratory analysis on pack and feedback data—for example market-family ROI, calibration curves, rejection funnels, or model diagnostics.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/survey_monkey-automation/SKILL.md"
"SurveyMonkey Automation","Automate SurveyMonkey survey creation, response collection, collector management, and survey discovery through natural language commands","No direct fit","No direct core-pipeline use. If you adopt SurveyMonkey operationally, this skill can automate that service around Outlier; it should not affect odds, projections, ranking, sizing, or settlement truth.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/survey-monkey-automation/SKILL.md"
"svix-automation","Automate Svix tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/svix-automation/SKILL.md"
"sympla-automation","Automate Sympla tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/sympla-automation/SKILL.md"
"synthesize-outlier-pack","Synthesizes an MLB, WNBA, or combined daily betting report locally from the standalone Outlier briefing pack when external reasoning models fail, are unavailable, or are intentionally bypassed. Use for pack-only fallback analysis and for returning the final report directly in chat.","Direct","Turn existing desk outputs and pack evidence into the final Outlier recommendation synthesis while preserving pack identities and verdict contracts.","Outlier pipeline","Paid/live model calls may require explicit per-turn authorization; default to offline/native analysis.","Outlier repo","C:/Users/dasil/Dev/GitHub/outlier/.agents/skills/synthesize-outlier-pack/SKILL.md"
"synthflow-ai-automation","Automate Synthflow AI tasks via Rube MCP (Composio). Always search tools first for current schemas.","Supporting","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","AI & research","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/synthflow-ai-automation/SKILL.md"
"taggun-automation","Automate Taggun tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/taggun-automation/SKILL.md"
"tailored-resume-generator","Analyzes job descriptions and generates tailored resumes that highlight relevant experience, skills, and achievements to maximize interview chances","No direct fit","No direct core-pipeline use. If you adopt tailored-resume-generator operationally, this skill can automate that service around Outlier; it should not affect odds, projections, ranking, sizing, or settlement truth.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/tailored-resume-generator/SKILL.md"
"talenthr-automation","Automate Talenthr tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/talenthr-automation/SKILL.md"
"tally-automation","Automate Tally tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/tally-automation/SKILL.md"
"tapfiliate-automation","Automate Tapfiliate tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/tapfiliate-automation/SKILL.md"
"tapform-automation","Automate Tapform tasks via Rube MCP (Composio). Always search tools first for current schemas.","Supporting","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Files & documents","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/tapform-automation/SKILL.md"
"tavily-automation","Automate Tavily tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/tavily-automation/SKILL.md"
"taxjar-automation","Automate Taxjar tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/taxjar-automation/SKILL.md"
"teamcamp-automation","Automate Teamcamp tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/teamcamp-automation/SKILL.md"
"telnyx-automation","Automate Telnyx tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/telnyx-automation/SKILL.md"
"teltel-automation","Automate Teltel tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/teltel-automation/SKILL.md"
"template-creator:template-creator","Create or update a reusable personal Codex artifact-template skill. Use when the user invokes $template-creator or asks in natural language to create a reusable template from a reference document, presentation, spreadsheet, Google Docs, Slides, or Sheets link, ImageGen or Product Design image, email, Slack message, or Site project, or explicitly asks to edit or update a passed artifact-template skill. Do not use for one-off creation from an existing template.","Strong","Inspect or publish CSV/XLSX views of candidates, original recommendations, decisions, settlements, and calibration outputs while keeping canonical files authoritative.","Business operations","Can communicate externally; verify recipients and content before sending.","Primary runtime","C:/Users/dasil/.codex/plugins/cache/openai-primary-runtime/template-creator/26.904.11930/skills/template-creator/SKILL.md"
"template-skill","Replace with description of the skill and when Claude should use it.","No direct fit","No direct core-pipeline use. If you adopt template-skill operationally, this skill can automate that service around Outlier; it should not affect odds, projections, ranking, sizing, or settlement truth.","Business operations","Paid/live model calls may require explicit per-turn authorization; default to offline/native analysis.","Codex skill","C:/Users/dasil/.codex/skills/template-skill/SKILL.md"
